chunk_id,decision,reviewed_by,review_comment,rejection_reason
NICE_SELF_HARM_d77a0488_00046_a55cbce54c3a,pending,ChatGPT-assisted review,NICE 自伤指南属于高风险安全内容；片段虽可能有帮助，但需安全专项复核后才能进入安全路由,
NICE_SELF_HARM_d77a0488_00047_3427b56b01c7,pending,ChatGPT-assisted review,NICE 自伤指南属于高风险安全内容；片段虽可能有帮助，但需安全专项复核后才能进入安全路由,
NICE_SELF_HARM_d77a0488_00048_d14e4be8f044,pending,ChatGPT-assisted review,NICE 自伤指南属于高风险安全内容；片段虽可能有帮助，但需安全专项复核后才能进入安全路由,
NICE_SELF_HARM_d77a0488_00049_bcae67cab98a,pending,ChatGPT-assisted review,NICE 自伤指南属于高风险安全内容；片段虽可能有帮助，但需安全专项复核后才能进入安全路由,
NICE_SELF_HARM_d77a0488_00050_0542a1e56ad8,pending,ChatGPT-assisted review,NICE 自伤指南属于高风险安全内容；片段虽可能有帮助，但需安全专项复核后才能进入安全路由,
NICE_SELF_HARM_d77a0488_00051_81973e42225c,pending,ChatGPT-assisted review,NICE 自伤指南属于高风险安全内容；片段虽可能有帮助，但需安全专项复核后才能进入安全路由,
NICE_SELF_HARM_d77a0488_00052_207c44d4dbbd,rejected,ChatGPT-assisted review,,指南证据、委员会讨论或研究方法内容，不是面向用户的安全支持正文
NICE_SELF_HARM_d77a0488_00053_b344973d4a3f,pending,ChatGPT-assisted review,NICE 自伤指南属于高风险安全内容；片段虽可能有帮助，但需安全专项复核后才能进入安全路由,
NICE_SELF_HARM_d77a0488_00054_801eb979a903,pending,ChatGPT-assisted review,NICE 自伤指南属于高风险安全内容；片段虽可能有帮助，但需安全专项复核后才能进入安全路由,
NICE_SELF_HARM_d77a0488_00055_814299a1f97e,pending,ChatGPT-assisted review,NICE 自伤指南属于高风险安全内容；片段虽可能有帮助，但需安全专项复核后才能进入安全路由,
NICE_SELF_HARM_d77a0488_00056_a15319421ac4,pending,ChatGPT-assisted review,NICE 自伤指南属于高风险安全内容；片段虽可能有帮助，但需安全专项复核后才能进入安全路由,
NICE_SELF_HARM_d77a0488_00057_f9e9b385cd89,pending,ChatGPT-assisted review,NICE 自伤指南属于高风险安全内容；片段虽可能有帮助，但需安全专项复核后才能进入安全路由,
NICE_SELF_HARM_d77a0488_00058_fc1531b04a22,pending,ChatGPT-assisted review,NICE 自伤指南属于高风险安全内容；片段虽可能有帮助，但需安全专项复核后才能进入安全路由,
NICE_SELF_HARM_d77a0488_00059_cf3279cf1340,pending,ChatGPT-assisted review,NICE 自伤指南属于高风险安全内容；片段虽可能有帮助，但需安全专项复核后才能进入安全路由,
NICE_SELF_HARM_d77a0488_00060_a1fc441c1add,pending,ChatGPT-assisted review,NICE 自伤指南属于高风险安全内容；片段虽可能有帮助，但需安全专项复核后才能进入安全路由,
NICE_SELF_HARM_d77a0488_00061_5f26292cd4e4,pending,ChatGPT-assisted review,NICE 自伤指南属于高风险安全内容；片段虽可能有帮助，但需安全专项复核后才能进入安全路由,
NICE_SELF_HARM_d77a0488_00062_b6a7708d19f7,pending,ChatGPT-assisted review,NICE 自伤指南属于高风险安全内容；片段虽可能有帮助，但需安全专项复核后才能进入安全路由,
NICE_SELF_HARM_d77a0488_00063_428437e39575,rejected,ChatGPT-assisted review,,指南证据、委员会讨论或研究方法内容，不是面向用户的安全支持正文
NICE_SELF_HARM_d77a0488_00064_aab0ffe14908,pending,ChatGPT-assisted review,NICE 自伤指南属于高风险安全内容；片段虽可能有帮助，但需安全专项复核后才能进入安全路由,
NICE_SELF_HARM_d77a0488_00065_6818a499a42d,pending,ChatGPT-assisted review,NICE 自伤指南属于高风险安全内容；片段虽可能有帮助，但需安全专项复核后才能进入安全路由,
NICE_SELF_HARM_d77a0488_00066_e8c97871e4e9,pending,ChatGPT-assisted review,NICE 自伤指南属于高风险安全内容；片段虽可能有帮助，但需安全专项复核后才能进入安全路由,
NICE_SELF_HARM_d77a0488_00067_751c9186ffa4,pending,ChatGPT-assisted review,NICE 自伤指南属于高风险安全内容；片段虽可能有帮助，但需安全专项复核后才能进入安全路由,
NICE_SELF_HARM_d77a0488_00068_fe1627602932,pending,ChatGPT-assisted review,NICE 自伤指南属于高风险安全内容；片段虽可能有帮助，但需安全专项复核后才能进入安全路由,
NICE_SELF_HARM_d77a0488_00069_3ef6db7f5625,pending,ChatGPT-assisted review,NICE 自伤指南属于高风险安全内容；片段虽可能有帮助，但需安全专项复核后才能进入安全路由,
NICE_SELF_HARM_d77a0488_00070_367f25e3b376,rejected,ChatGPT-assisted review,,涉及临床治疗或自伤方式/减害细节，不适合普通陪伴直接引用
NICE_SELF_HARM_d77a0488_00071_5b76efaf9304,pending,ChatGPT-assisted review,NICE 自伤指南属于高风险安全内容；片段虽可能有帮助，但需安全专项复核后才能进入安全路由,
NICE_SELF_HARM_d77a0488_00072_5c8e6d3c67b2,pending,ChatGPT-assisted review,NICE 自伤指南属于高风险安全内容；片段虽可能有帮助，但需安全专项复核后才能进入安全路由,
NICE_SELF_HARM_d77a0488_00073_baa9bd0dde53,rejected,ChatGPT-assisted review,,涉及临床治疗或自伤方式/减害细节，不适合普通陪伴直接引用
NICE_SELF_HARM_d77a0488_00074_33dcc407d6a0,pending,ChatGPT-assisted review,NICE 自伤指南属于高风险安全内容；片段虽可能有帮助，但需安全专项复核后才能进入安全路由,
NICE_SELF_HARM_d77a0488_00075_e7608e936530,pending,ChatGPT-assisted review,NICE 自伤指南属于高风险安全内容；片段虽可能有帮助，但需安全专项复核后才能进入安全路由,
NICE_SELF_HARM_d77a0488_00076_5bdd3c882a92,rejected,ChatGPT-assisted review,,指南证据、委员会讨论或研究方法内容，不是面向用户的安全支持正文
NICE_SELF_HARM_d77a0488_00077_9aeca74506a7,pending,ChatGPT-assisted review,NICE 自伤指南属于高风险安全内容；片段虽可能有帮助，但需安全专项复核后才能进入安全路由,
NICE_SELF_HARM_d77a0488_00078_1f20a0a9c541,rejected,ChatGPT-assisted review,,涉及临床治疗或自伤方式/减害细节，不适合普通陪伴直接引用
NICE_SELF_HARM_d77a0488_00079_0087bd8291ab,pending,ChatGPT-assisted review,NICE 自伤指南属于高风险安全内容；片段虽可能有帮助，但需安全专项复核后才能进入安全路由,
NICE_SELF_HARM_d77a0488_00080_bd517e9860ef,pending,ChatGPT-assisted review,NICE 自伤指南属于高风险安全内容；片段虽可能有帮助，但需安全专项复核后才能进入安全路由,
NICE_SELF_HARM_d77a0488_00081_108baaab5d88,pending,ChatGPT-assisted review,NICE 自伤指南属于高风险安全内容；片段虽可能有帮助，但需安全专项复核后才能进入安全路由,
NICE_SELF_HARM_d77a0488_00082_aabc029eed27,pending,ChatGPT-assisted review,NICE 自伤指南属于高风险安全内容；片段虽可能有帮助，但需安全专项复核后才能进入安全路由,
NICE_SELF_HARM_d77a0488_00083_232dfd14a8bb,rejected,ChatGPT-assisted review,,指南证据、委员会讨论或研究方法内容，不是面向用户的安全支持正文
NICE_SELF_HARM_d77a0488_00084_e7d2fd7cde5f,pending,ChatGPT-assisted review,NICE 自伤指南属于高风险安全内容；片段虽可能有帮助，但需安全专项复核后才能进入安全路由,
NICE_SELF_HARM_d77a0488_00085_74e62c86bfb6,rejected,ChatGPT-assisted review,,指南证据、委员会讨论或研究方法内容，不是面向用户的安全支持正文
NICE_SELF_HARM_d77a0488_00086_87abea731e41,pending,ChatGPT-assisted review,NICE 自伤指南属于高风险安全内容；片段虽可能有帮助，但需安全专项复核后才能进入安全路由,
NICE_SELF_HARM_d77a0488_00087_1fe046f85da5,pending,ChatGPT-assisted review,NICE 自伤指南属于高风险安全内容；片段虽可能有帮助，但需安全专项复核后才能进入安全路由,
NICE_SELF_HARM_d77a0488_00088_fd3238ec42b6,pending,ChatGPT-assisted review,NICE 自伤指南属于高风险安全内容；片段虽可能有帮助，但需安全专项复核后才能进入安全路由,
NICE_SELF_HARM_d77a0488_00089_1604ef68b532,rejected,ChatGPT-assisted review,,涉及临床治疗或自伤方式/减害细节，不适合普通陪伴直接引用
NICE_SELF_HARM_d77a0488_00090_4fd69b90199a,pending,ChatGPT-assisted review,NICE 自伤指南属于高风险安全内容；片段虽可能有帮助，但需安全专项复核后才能进入安全路由,
NICE_SELF_HARM_d77a0488_00091_15cfdcd86ebf,pending,ChatGPT-assisted review,NICE 自伤指南属于高风险安全内容；片段虽可能有帮助，但需安全专项复核后才能进入安全路由,
NICE_SELF_HARM_d77a0488_00092_b49a590d9cb6,pending,ChatGPT-assisted review,NICE 自伤指南属于高风险安全内容；片段虽可能有帮助，但需安全专项复核后才能进入安全路由,
NICE_SELF_HARM_d77a0488_00093_42e979b5da2c,pending,ChatGPT-assisted review,NICE 自伤指南属于高风险安全内容；片段虽可能有帮助，但需安全专项复核后才能进入安全路由,
NICE_SELF_HARM_d77a0488_00094_04aa2ed8c34d,rejected,ChatGPT-assisted review,,指南证据、委员会讨论或研究方法内容，不是面向用户的安全支持正文
NICE_SELF_HARM_d77a0488_00095_8f5814849eee,rejected,ChatGPT-assisted review,,指南证据、委员会讨论或研究方法内容，不是面向用户的安全支持正文
NICE_SELF_HARM_d77a0488_00096_b9904037ccc5,rejected,ChatGPT-assisted review,,涉及临床治疗或自伤方式/减害细节，不适合普通陪伴直接引用
NICE_SELF_HARM_d77a0488_00097_76ce15ce162f,rejected,ChatGPT-assisted review,,指南证据、委员会讨论或研究方法内容，不是面向用户的安全支持正文
NICE_SELF_HARM_d77a0488_00098_f71b4725272a,pending,ChatGPT-assisted review,NICE 自伤指南属于高风险安全内容；片段虽可能有帮助，但需安全专项复核后才能进入安全路由,
NICE_SELF_HARM_d77a0488_00099_584b4fc2539f,pending,ChatGPT-assisted review,NICE 自伤指南属于高风险安全内容；片段虽可能有帮助，但需安全专项复核后才能进入安全路由,
NICE_SELF_HARM_d77a0488_00100_70684965b299,rejected,ChatGPT-assisted review,,指南证据、委员会讨论或研究方法内容，不是面向用户的安全支持正文
NICE_SELF_HARM_d77a0488_00101_3a45b4bea805,pending,ChatGPT-assisted review,NICE 自伤指南属于高风险安全内容；片段虽可能有帮助，但需安全专项复核后才能进入安全路由,
NICE_SELF_HARM_d77a0488_00102_9044e14fe77f,pending,ChatGPT-assisted review,NICE 自伤指南属于高风险安全内容；片段虽可能有帮助，但需安全专项复核后才能进入安全路由,
NICE_SELF_HARM_d77a0488_00103_3ce0cc1ad25d,pending,ChatGPT-assisted review,NICE 自伤指南属于高风险安全内容；片段虽可能有帮助，但需安全专项复核后才能进入安全路由,
NICE_SELF_HARM_d77a0488_00104_0a89bf4d09f5,pending,ChatGPT-assisted review,NICE 自伤指南属于高风险安全内容；片段虽可能有帮助，但需安全专项复核后才能进入安全路由,
NICE_SELF_HARM_d77a0488_00105_1a6175b51f97,pending,ChatGPT-assisted review,NICE 自伤指南属于高风险安全内容；片段虽可能有帮助，但需安全专项复核后才能进入安全路由,
NICE_SELF_HARM_d77a0488_00106_e3af29c0cac8,pending,ChatGPT-assisted review,NICE 自伤指南属于高风险安全内容；片段虽可能有帮助，但需安全专项复核后才能进入安全路由,
NICE_SELF_HARM_d77a0488_00107_b7202a738bbe,pending,ChatGPT-assisted review,NICE 自伤指南属于高风险安全内容；片段虽可能有帮助，但需安全专项复核后才能进入安全路由,
NICE_SELF_HARM_d77a0488_00108_2bc16f7cef7d,pending,ChatGPT-assisted review,NICE 自伤指南属于高风险安全内容；片段虽可能有帮助，但需安全专项复核后才能进入安全路由,
NICE_SELF_HARM_d77a0488_00109_211975f0cf24,pending,ChatGPT-assisted review,NICE 自伤指南属于高风险安全内容；片段虽可能有帮助，但需安全专项复核后才能进入安全路由,
NICE_SELF_HARM_d77a0488_00110_c1320dddac3f,pending,ChatGPT-assisted review,NICE 自伤指南属于高风险安全内容；片段虽可能有帮助，但需安全专项复核后才能进入安全路由,
NICE_SELF_HARM_d77a0488_00111_1f80e4c03769,rejected,ChatGPT-assisted review,,指南证据、委员会讨论或研究方法内容，不是面向用户的安全支持正文
NICE_SELF_HARM_d77a0488_00112_d812bb40c33a,pending,ChatGPT-assisted review,NICE 自伤指南属于高风险安全内容；片段虽可能有帮助，但需安全专项复核后才能进入安全路由,
NICE_SELF_HARM_d77a0488_00113_b6c43a56fa01,pending,ChatGPT-assisted review,NICE 自伤指南属于高风险安全内容；片段虽可能有帮助，但需安全专项复核后才能进入安全路由,
NICE_SELF_HARM_d77a0488_00114_3bdd4c72be03,pending,ChatGPT-assisted review,NICE 自伤指南属于高风险安全内容；片段虽可能有帮助，但需安全专项复核后才能进入安全路由,
NICE_SELF_HARM_d77a0488_00115_af4cc57bc8e2,pending,ChatGPT-assisted review,NICE 自伤指南属于高风险安全内容；片段虽可能有帮助，但需安全专项复核后才能进入安全路由,
NICE_SELF_HARM_d77a0488_00116_11f07392e495,pending,ChatGPT-assisted review,NICE 自伤指南属于高风险安全内容；片段虽可能有帮助，但需安全专项复核后才能进入安全路由,
NICE_SELF_HARM_d77a0488_00117_0c0c571b7188,pending,ChatGPT-assisted review,NICE 自伤指南属于高风险安全内容；片段虽可能有帮助，但需安全专项复核后才能进入安全路由,
NICE_SELF_HARM_d77a0488_00118_a949cace6c7e,pending,ChatGPT-assisted review,NICE 自伤指南属于高风险安全内容；片段虽可能有帮助，但需安全专项复核后才能进入安全路由,
NICE_SELF_HARM_d77a0488_00119_90ee1d675720,pending,ChatGPT-assisted review,NICE 自伤指南属于高风险安全内容；片段虽可能有帮助，但需安全专项复核后才能进入安全路由,
NICE_SELF_HARM_d77a0488_00120_c5db3b803c90,rejected,ChatGPT-assisted review,,指南证据、委员会讨论或研究方法内容，不是面向用户的安全支持正文
NICE_SELF_HARM_d77a0488_00121_2e2384aed06b,pending,ChatGPT-assisted review,NICE 自伤指南属于高风险安全内容；片段虽可能有帮助，但需安全专项复核后才能进入安全路由,
NICE_SELF_HARM_d77a0488_00122_280cf6c77347,pending,ChatGPT-assisted review,NICE 自伤指南属于高风险安全内容；片段虽可能有帮助，但需安全专项复核后才能进入安全路由,
NICE_SELF_HARM_d77a0488_00123_724817c09c4e,pending,ChatGPT-assisted review,NICE 自伤指南属于高风险安全内容；片段虽可能有帮助，但需安全专项复核后才能进入安全路由,
NICE_SELF_HARM_d77a0488_00124_944dbac2d38d,pending,ChatGPT-assisted review,NICE 自伤指南属于高风险安全内容；片段虽可能有帮助，但需安全专项复核后才能进入安全路由,
NICE_SELF_HARM_d77a0488_00125_b2aefed62d48,pending,ChatGPT-assisted review,NICE 自伤指南属于高风险安全内容；片段虽可能有帮助，但需安全专项复核后才能进入安全路由,
NICE_SELF_HARM_d77a0488_00126_91cbe22a8d5b,pending,ChatGPT-assisted review,NICE 自伤指南属于高风险安全内容；片段虽可能有帮助，但需安全专项复核后才能进入安全路由,
NICE_SELF_HARM_d77a0488_00127_5c7469bffa8b,rejected,ChatGPT-assisted review,,指南证据、委员会讨论或研究方法内容，不是面向用户的安全支持正文
NICE_SELF_HARM_d77a0488_00128_14cdc7196b63,pending,ChatGPT-assisted review,NICE 自伤指南属于高风险安全内容；片段虽可能有帮助，但需安全专项复核后才能进入安全路由,
NICE_SELF_HARM_d77a0488_00129_266c0ac134cc,pending,ChatGPT-assisted review,NICE 自伤指南属于高风险安全内容；片段虽可能有帮助，但需安全专项复核后才能进入安全路由,
NICE_SELF_HARM_d77a0488_00130_0fbe8d6a117f,rejected,ChatGPT-assisted review,,指南证据、委员会讨论或研究方法内容，不是面向用户的安全支持正文
NICE_SELF_HARM_d77a0488_00131_959440e63c90,rejected,ChatGPT-assisted review,,指南证据、委员会讨论或研究方法内容，不是面向用户的安全支持正文
NICE_SELF_HARM_d77a0488_00132_bd81de5d1070,pending,ChatGPT-assisted review,NICE 自伤指南属于高风险安全内容；片段虽可能有帮助，但需安全专项复核后才能进入安全路由,
NICE_SELF_HARM_d77a0488_00133_22fa43f7a018,rejected,ChatGPT-assisted review,,指南证据、委员会讨论或研究方法内容，不是面向用户的安全支持正文
NICE_SELF_HARM_d77a0488_00134_c77baf03b8f6,pending,ChatGPT-assisted review,NICE 自伤指南属于高风险安全内容；片段虽可能有帮助，但需安全专项复核后才能进入安全路由,
NICE_SELF_HARM_d77a0488_00135_a5b647d07f7e,pending,ChatGPT-assisted review,NICE 自伤指南属于高风险安全内容；片段虽可能有帮助，但需安全专项复核后才能进入安全路由,
NICE_SELF_HARM_d77a0488_00136_b45c03d40373,pending,ChatGPT-assisted review,NICE 自伤指南属于高风险安全内容；片段虽可能有帮助，但需安全专项复核后才能进入安全路由,
NICE_SELF_HARM_d77a0488_00137_30c1a0f9a87b,pending,ChatGPT-assisted review,NICE 自伤指南属于高风险安全内容；片段虽可能有帮助，但需安全专项复核后才能进入安全路由,
NICE_SELF_HARM_d77a0488_00138_72f493e07c2e,pending,ChatGPT-assisted review,NICE 自伤指南属于高风险安全内容；片段虽可能有帮助，但需安全专项复核后才能进入安全路由,
NICE_SELF_HARM_d77a0488_00139_5e6a45fa3033,rejected,ChatGPT-assisted review,,指南证据、委员会讨论或研究方法内容，不是面向用户的安全支持正文
NICE_SELF_HARM_d77a0488_00140_1bd56faad733,pending,ChatGPT-assisted review,NICE 自伤指南属于高风险安全内容；片段虽可能有帮助，但需安全专项复核后才能进入安全路由,
NICE_SELF_HARM_d77a0488_00141_22395a061951,rejected,ChatGPT-assisted review,,指南证据、委员会讨论或研究方法内容，不是面向用户的安全支持正文
NICE_SELF_HARM_d77a0488_00142_3035281fb358,rejected,ChatGPT-assisted review,,指南证据、委员会讨论或研究方法内容，不是面向用户的安全支持正文
NICE_SELF_HARM_d77a0488_00143_ada88538b3d7,pending,ChatGPT-assisted review,NICE 自伤指南属于高风险安全内容；片段虽可能有帮助，但需安全专项复核后才能进入安全路由,
NICE_SELF_HARM_d77a0488_00144_de846c0c2d8b,pending,ChatGPT-assisted review,NICE 自伤指南属于高风险安全内容；片段虽可能有帮助，但需安全专项复核后才能进入安全路由,
NICE_SELF_HARM_d77a0488_00145_32b676310b90,pending,ChatGPT-assisted review,NICE 自伤指南属于高风险安全内容；片段虽可能有帮助，但需安全专项复核后才能进入安全路由,
NICE_SELF_HARM_d77a0488_00146_8c3e2af728cb,pending,ChatGPT-assisted review,NICE 自伤指南属于高风险安全内容；片段虽可能有帮助，但需安全专项复核后才能进入安全路由,
NICE_SELF_HARM_d77a0488_00147_cf9c6aa398cc,pending,ChatGPT-assisted review,NICE 自伤指南属于高风险安全内容；片段虽可能有帮助，但需安全专项复核后才能进入安全路由,
NICE_SELF_HARM_d77a0488_00148_760f134cb947,pending,ChatGPT-assisted review,NICE 自伤指南属于高风险安全内容；片段虽可能有帮助，但需安全专项复核后才能进入安全路由,
NICE_SELF_HARM_d77a0488_00149_3773298805bd,rejected,ChatGPT-assisted review,,指南证据、委员会讨论或研究方法内容，不是面向用户的安全支持正文
NICE_SELF_HARM_d77a0488_00150_4f7b073568aa,pending,ChatGPT-assisted review,NICE 自伤指南属于高风险安全内容；片段虽可能有帮助，但需安全专项复核后才能进入安全路由,
NICE_SELF_HARM_d77a0488_00151_d55c4fcf384d,pending,ChatGPT-assisted review,NICE 自伤指南属于高风险安全内容；片段虽可能有帮助，但需安全专项复核后才能进入安全路由,
