candidate_id,title,organization,official_url,asset_url,year,language,source_type,population,topics,intended_collection,use_mode,authority_level,evidence_level,license,downloadable,robots_allowed,authentication_required,estimated_size,existing_overlap,freshness,source_quality_score,decision,decision_reason
SAMHSA_FAMILY_SUPPORT,"Family, Parent and Caregiver Peer Support",Substance Abuse and Mental Health Services Administration,https://www.samhsa.gov/families,,2026,en,official_web_guide,"[""parents"", ""caregivers"", ""family_members_supporting_others""]","[""family_relationships"", ""caregiving_stress"", ""communication"", ""support_boundaries""]",professional_knowledge,direct_user_support,tier_a,A,official_public_source,True,unknown_until_checked,False,unknown,low,current,100,strong_include,strong_include; score=100
UNICEF_ADOLESCENT_MH,Mental health and psychosocial support for adolescents,UNICEF,https://www.unicef.org/mental-health,,2026,en,official_web_guide,"[""adolescents"", ""parents"", ""caregivers""]","[""adolescent_development"", ""stress"", ""anxiety"", ""low_mood"", ""social_relationships""]",professional_knowledge,psychoeducation_only,tier_a,A,official_public_source,True,unknown_until_checked,False,unknown,low,current,100,strong_include,strong_include; score=100
UNICEF_PARENTING_MH,Parent and caregiver mental health support,UNICEF,https://www.unicef.org/parenting/mental-health,,2026,en,official_web_guide,"[""parents"", ""caregivers"", ""children"", ""adolescents""]","[""parent_child_relationship"", ""caregiving_stress"", ""communication"", ""self_compassion""]",professional_knowledge,direct_user_support,tier_a,A,official_public_source,True,unknown_until_checked,False,unknown,low,current,100,strong_include,strong_include; score=100
WHO_HELPING_SKILLS_2025,Foundational helping skills training manual: a competency-based approach for training helpers to support adults,World Health Organization / UNICEF,https://www.who.int/publications/i/item/9789240105935,,2025,en,training_manual,"[""adults"", ""family_members_supporting_others""]","[""empathy"", ""active_listening"", ""communication"", ""collaboration"", ""non_harmful_helping""]",helping_skills,helping_skills_only,tier_a,A,official_public_source,True,unknown_until_checked,False,unknown,low,current,100,strong_include,strong_include; score=100
WHO_SELFHELP_2026,"Psychological self-help interventions: delivering self-help for individuals, featuring Step-by-Step and Doing What Matters in Times of Stress",World Health Organization,https://www.who.int/publications/i/item/9789240120785,,2026,en,manual,"[""young_adults"", ""adults"", ""workers"", ""university_students""]","[""self_help"", ""stress"", ""guided_self_help"", ""problem_solving""]",interventions,direct_user_support,tier_a,A,official_public_source,True,unknown_until_checked,False,unknown,low,current,100,strong_include,strong_include; score=100; Core self-help guidance; deduplicate against DWM/Step-by-Step annexes.
CN_MOE_STUDENT_MH_ACTION_2023_2025,全面加强和改进新时代学生心理健康工作专项行动计划（2023—2025年）,中华人民共和国教育部等十七部门,https://www.moe.gov.cn/srcsite/A17/moe_943/moe_946/202305/t20230511_1059219.html,,2023,zh-CN,policy_plan,"[""children"", ""adolescents"", ""students"", ""university_students""]","[""student_mental_health"", ""campus_support"", ""children"", ""adolescents"", ""university_students""]",campus_support,agent_policy_only,tier_a,A,official_public_source,True,unknown_until_checked,False,unknown,low,established,99,strong_include,strong_include; score=99
NICE_SELF_HARM,"Self-harm: assessment, management and preventing recurrence",National Institute for Health and Care Excellence,https://www.nice.org.uk/guidance/ng225,,2022,en,clinical_guideline,"[""adolescents"", ""adults"", ""older_adults""]","[""self_harm"", ""suicidal_thoughts"", ""safety_planning_principles"", ""referral_guidance""]",safety,safety_only,tier_a,A,official_public_source,True,unknown_until_checked,False,unknown,low,established,99,strong_include,strong_include; score=99
SAMHSA_TRAUMA_INFORMED_CARE,Practical Guide for Implementing a Trauma-Informed Approach,Substance Abuse and Mental Health Services Administration,https://www.samhsa.gov/resource/dbhis/practical-guide-implementing-trauma-informed-approach,,2023,en,guide,"[""people_exposed_to_trauma"", ""family_members_supporting_others""]","[""trauma"", ""communication"", ""non_harmful_helping"", ""safety""]",helping_skills,helping_skills_only,tier_a,A,official_public_source,True,unknown_until_checked,False,unknown,low,established,99,strong_include,strong_include; score=99
WHO_EASE_INTERVENTION_2023,Early Adolescent Skills for Emotions (EASE),World Health Organization / UNICEF,https://www.who.int/publications/i/item/9789240082755,,2023,en,intervention_manual,"[""adolescents"", ""caregivers"", ""parents""]","[""stress"", ""anxiety"", ""low_mood"", ""emotion_regulation"", ""caregiver_support""]",interventions,direct_user_support,tier_a,A,official_public_source,True,unknown_until_checked,False,unknown,low,established,99,strong_include,strong_include; score=99
WHO_LIVE_LIFE_2021,LIVE LIFE: an implementation guide for suicide prevention in countries,World Health Organization,https://www.who.int/publications/i/item/9789240026629,,2021,"zh-CN,en",implementation_guide,"[""adolescents"", ""adults"", ""older_adults""]","[""self_harm"", ""suicidal_thoughts"", ""acute_crisis"", ""referral_guidance""]",safety,safety_only,tier_a,A,official_public_source,True,unknown_until_checked,False,unknown,low,established,99,strong_include,strong_include; score=99
WHO_MHGAP_2023,"mhGAP guideline for mental, neurological and substance use disorders, third edition",World Health Organization,https://www.who.int/publications/i/item/9789240084278,,2023,en,guideline,"[""adults"", ""older_adults"", ""adolescents""]","[""depression"", ""anxiety_disorders"", ""self_harm"", ""substance_use"", ""psychosis"", ""bipolar_disorder"", ""dementia""]",evidence,clinical_reference_only,tier_a,A,official_public_source,True,unknown_until_checked,False,unknown,low,established,99,strong_include,strong_include; score=99; Clinical reference only; ordinary counselor must not turn it into diagnosis or treatment.
WHO_SAFETY_PLANNING_2023,Safety planning interventions,World Health Organization,https://www.who.int/teams/mental-health-and-substance-use/treatment-care/mental-health-gap-action-programme/evidence-centre/self-harm-and-suicide/safety-planning-interventions,,2023,en,evidence_recommendation,"[""adolescents"", ""adults"", ""older_adults""]","[""self_harm"", ""suicidal_thoughts"", ""suicidal_plan"", ""safety_planning_principles""]",safety,safety_only,tier_a,A,official_public_source,True,unknown_until_checked,False,unknown,low,established,99,strong_include,strong_include; score=99
WHO_WORK_GUIDELINE_2022,WHO guidelines on mental health at work,World Health Organization,https://www.who.int/publications/i/item/9789240053052,,2022,"zh-CN,en",guideline,"[""workers"", ""job_seekers"", ""adults""]","[""work_stress"", ""burnout_related_distress"", ""return_to_work"", ""employment_anxiety""]",evidence,evidence_only,tier_a,A,official_public_source,True,unknown_until_checked,False,unknown,low,established,99,strong_include,strong_include; score=99
CN_MOE_HIGHER_ED_MH_GUIDE_2018,高等学校学生心理健康教育指导纲要,中华人民共和国教育部,https://www.moe.gov.cn/srcsite/A12/moe_1407/s3020/201807/t20180713_342992.html,,2018,zh-CN,policy_guideline,"[""university_students"", ""students""]","[""university_students"", ""campus_support"", ""academic_pressure"", ""counselling_services""]",campus_support,agent_policy_only,tier_a,A,official_public_source,True,unknown_until_checked,False,unknown,low,established,98,strong_include,strong_include; score=98
NIA_LONELINESS,Loneliness and Social Isolation,National Institute on Aging,https://www.nia.nih.gov/health/loneliness-and-social-isolation,,2026,en,official_web_guide,"[""older_adults"", ""caregivers""]","[""loneliness"", ""social_isolation"", ""social_support""]",professional_knowledge,direct_user_support,tier_a,A,official_public_source,True,unknown_until_checked,False,unknown,low,current,98,strong_include,strong_include; score=98
NIMH_BIPOLAR,Bipolar Disorder,National Institute of Mental Health,https://www.nimh.nih.gov/health/topics/bipolar-disorder,,2026,en,fact_sheet,"[""young_adults"", ""adults""]","[""bipolar_disorder"", ""mania"", ""professional_help""]",professional_knowledge,psychoeducation_only,tier_a,A,official_public_source,True,unknown_until_checked,False,unknown,low,current,98,strong_include,strong_include; score=98
NIMH_OCD,Obsessive-Compulsive Disorder,National Institute of Mental Health,https://www.nimh.nih.gov/health/topics/obsessive-compulsive-disorder-ocd,,2026,en,fact_sheet,"[""adolescents"", ""adults""]","[""OCD"", ""anxiety_disorders"", ""professional_help""]",professional_knowledge,psychoeducation_only,tier_a,A,official_public_source,True,unknown_until_checked,False,unknown,low,current,98,strong_include,strong_include; score=98
WHO_DEMENTIA_ACTION_PLAN_2017,Global action plan on the public health response to dementia 2017-2025,World Health Organization,https://www.who.int/publications/i/item/global-action-plan-on-the-public-health-response-to-dementia-2017---2025,,2017,"zh-CN,en",policy_guidance,"[""older_adults"", ""caregivers"", ""family_members_supporting_others""]","[""dementia"", ""caregiving_stress"", ""social_support""]",professional_knowledge,psychoeducation_only,tier_a,A,official_public_source,True,unknown_until_checked,False,unknown,low,established,98,strong_include,strong_include; score=98
WHO_EASE_TRAINING_2025,Early Adolescent Skills for Emotions (EASE): training manual,World Health Organization / UNICEF,https://www.who.int/publications/i/item/9789240113718,,2025,en,training_manual,"[""adolescents"", ""caregivers""]","[""helper_training"", ""adolescent_support"", ""caregiver_support"", ""communication""]",helping_skills,helping_skills_only,tier_a,A,official_public_source,True,unknown_until_checked,False,unknown,medium,current,98,strong_include,strong_include; score=98
WHO_PM_PLUS_2018,Problem Management Plus (PM+): individual psychological help for adults impaired by distress in communities exposed to adversity,World Health Organization,https://www.who.int/publications/i/item/WHO-MSD-MER-18.5,,2018,"zh-CN,en",intervention_manual,"[""adults"", ""people_exposed_to_trauma""]","[""stress"", ""problem_solving"", ""behavioral_activation"", ""social_support"", ""anxiety"", ""low_mood""]",interventions,direct_user_support,tier_a,A,official_public_source,True,unknown_until_checked,False,unknown,low,established,98,strong_include,strong_include; score=98
WHO_PM_PLUS_TRAINING_2025,Problem Management Plus (PM+) psychological intervention for individuals: training manual,World Health Organization,https://www.who.int/publications/i/item/9789240109926,,2025,en,training_manual,"[""adults"", ""family_members_supporting_others""]","[""helper_training"", ""supervision"", ""communication"", ""support_boundaries""]",helping_skills,helping_skills_only,tier_a,A,official_public_source,True,unknown_until_checked,False,unknown,medium,current,98,strong_include,strong_include; score=98
WHO_THINKING_HEALTHY_2015,Thinking Healthy: a manual for psychological management of perinatal depression,World Health Organization,https://www.who.int/publications/i/item/WHO-MSD-MER-15.1,,2015,"zh-CN,en",intervention_manual,"[""pregnant_people"", ""postpartum_people"", ""parents""]","[""depression"", ""depressive_feelings"", ""perinatal_crisis"", ""parenthood""]",professional_knowledge,psychoeducation_only,tier_a,A,official_public_source,True,unknown_until_checked,False,unknown,low,established,98,strong_include,strong_include; score=98
NICE_DEPRESSION,Depression in adults: treatment and management,National Institute for Health and Care Excellence,https://www.nice.org.uk/guidance/ng222,,2022,en,clinical_guideline,"[""adults"", ""older_adults""]","[""depression"", ""professional_help"", ""clinical_boundary""]",evidence,clinical_reference_only,tier_a,A,official_public_source,True,unknown_until_checked,False,unknown,low,established,97,strong_include,strong_include; score=97
WHO_DWM_STRESS_2020,Doing What Matters in Times of Stress: An Illustrated Guide,World Health Organization,https://www.who.int/publications/i/item/9789240003927,,2020,"zh-CN,en",self_help_guide,"[""adolescents"", ""young_adults"", ""adults"", ""older_adults""]","[""stress"", ""grounding"", ""acceptance"", ""self_compassion"", ""emotion_regulation""]",interventions,direct_user_support,tier_a,A,official_public_source,True,unknown_until_checked,False,unknown,medium,established,97,strong_include,strong_include; score=97; Prefer official Chinese asset when available.
WHO_GROUP_PM_PLUS_2020,Group Problem Management Plus (Group PM+): group psychological help for adults impaired by distress in communities exposed to adversity,World Health Organization,https://www.who.int/publications/i/item/9789240008106,,2020,en,intervention_manual,"[""adults"", ""people_exposed_to_trauma""]","[""stress"", ""group_support"", ""social_support"", ""problem_solving""]",interventions,direct_user_support,tier_a,A,official_public_source,True,unknown_until_checked,False,unknown,medium,established,97,strong_include,strong_include; score=97
WHO_PFA_GUIDE_2011,Psychological first aid: Guide for field workers,World Health Organization,https://www.who.int/publications/i/item/9789241548205,,2011,"zh-CN,en",technical_document,"[""people_exposed_to_trauma"", ""family_members_supporting_others""]","[""acute_crisis"", ""trauma"", ""communication"", ""referral_guidance""]",helping_skills,helping_skills_only,tier_a,A,official_public_source,True,unknown_until_checked,False,unknown,low,established,97,strong_include,strong_include; score=97
WHO_SH_PLUS_2021,SELF-HELP PLUS (SH+): a group-based stress management course for adults,World Health Organization,https://www.who.int/publications/i/item/9789240035119,,2021,"zh-CN,en",toolkit,"[""adults"", ""workers"", ""people_exposed_to_trauma""]","[""stress"", ""group_support"", ""mindfulness_acceptance"", ""grounding""]",interventions,direct_user_support,tier_a,A,official_public_source,True,unknown_until_checked,False,unknown,medium,established,97,strong_include,strong_include; score=97
WHO_WORK_POLICY_BRIEF_2022,Mental health at work: policy brief,World Health Organization / International Labour Organization,https://www.who.int/publications/i/item/9789240057944,,2022,en,policy_brief,"[""workers"", ""job_seekers""]","[""work_stress"", ""workplace_relationship"", ""return_to_work""]",governance,agent_policy_only,tier_a,A,official_public_source,True,unknown_until_checked,False,unknown,low,established,97,strong_include,strong_include; score=97
WHO_GROUP_PM_PLUS_TRAINING_2026,Group Problem Management Plus (PM+) psychological intervention: training manual,World Health Organization,https://www.who.int/publications/i/item/9789240122185,,2026,en,training_manual,"[""adults""]","[""helper_training"", ""group_delivery"", ""supervision"", ""communication""]",helping_skills,helping_skills_only,tier_a,A,official_public_source,True,unknown_until_checked,False,unknown,medium,current,96,strong_include,strong_include; score=96
CCI_ASSERTIVENESS,Assertiveness self-help resources,"Centre for Clinical Interventions, Government of Western Australia",https://www.cci.health.wa.gov.au/Resources/Looking-After-Yourself/Assertiveness,,2025,en,workbook_and_sheets,"[""university_students"", ""young_adults"", ""adults""]","[""assertiveness"", ""communication"", ""conflict_management"", ""relationships""]",interventions,direct_user_support,tier_a,B,official_public_source,True,unknown_until_checked,False,unknown,low,current,93,strong_include,strong_include; score=93
CCI_DISORDERED_EATING,Disordered Eating self-help resources,"Centre for Clinical Interventions, Government of Western Australia",https://www.cci.health.wa.gov.au/Resources/Looking-After-Yourself/Disordered-Eating,,2025,en,workbook_and_sheets,"[""adolescents"", ""young_adults"", ""adults""]","[""eating_disorders"", ""body_image"", ""self_compassion"", ""severe_eating_disorder_risk""]",professional_knowledge,psychoeducation_only,tier_a,B,official_public_source,True,unknown_until_checked,False,unknown,low,current,93,strong_include,strong_include; score=93
NICE_GAD_PANIC,Generalised anxiety disorder and panic disorder in adults,National Institute for Health and Care Excellence,https://www.nice.org.uk/guidance/cg113,,2011,en,clinical_guideline,"[""adults""]","[""anxiety_disorders"", ""panic"", ""professional_help""]",evidence,clinical_reference_only,tier_a,A,official_public_source,True,unknown_until_checked,False,unknown,low,established,93,strong_include,strong_include; score=93
VA_SKILLS_PSYCHOLOGICAL_RECOVERY,Skills for Psychological Recovery,VA National Center for PTSD,https://www.ptsd.va.gov/professional/treat/type/SPR/SPR_manual.asp,,2026,en,manual,"[""people_exposed_to_trauma"", ""parents"", ""caregivers""]","[""trauma"", ""problem_solving"", ""social_support"", ""anger"", ""sleep"", ""grief""]",helping_skills,helping_skills_only,tier_a,B,official_public_source,True,unknown_until_checked,False,unknown,low,current,93,strong_include,strong_include; score=93
WHO_PFA_FACILITATOR_2013,Psychological first aid: facilitator's manual for orienting field workers,World Health Organization,https://www.who.int/publications/i/item/psychological-first-aid,,2013,"zh-CN,en",training_manual,"[""people_exposed_to_trauma"", ""family_members_supporting_others""]","[""acute_crisis"", ""helper_training"", ""communication""]",helping_skills,helping_skills_only,tier_a,A,official_public_source,True,unknown_until_checked,False,unknown,medium,established,93,strong_include,strong_include; score=93
CCI_BODY_DYSMORPHIA,Body Dysmorphia self-help resources,"Centre for Clinical Interventions, Government of Western Australia",https://www.cci.health.wa.gov.au/Resources/Looking-After-Yourself/Body-Dysmorphia,,2025,en,workbook_and_sheets,"[""young_adults"", ""adults""]","[""BDD"", ""appearance_concerns"", ""self_criticism""]",professional_knowledge,psychoeducation_only,tier_a,B,official_public_source,True,unknown_until_checked,False,unknown,low,current,91,strong_include,strong_include; score=91
CCI_DEPRESSION,Depression self-help resources,"Centre for Clinical Interventions, Government of Western Australia",https://www.cci.health.wa.gov.au/Resources/Looking-After-Yourself/Depression,,2025,en,workbook_and_sheets,"[""young_adults"", ""adults""]","[""depression"", ""low_mood"", ""behavioral_activation""]",professional_knowledge,psychoeducation_only,tier_a,B,official_public_source,True,unknown_until_checked,False,unknown,low,current,91,strong_include,strong_include; score=91
CCI_HEALTH_ANXIETY,Health Anxiety self-help resources,"Centre for Clinical Interventions, Government of Western Australia",https://www.cci.health.wa.gov.au/Resources/Looking-After-Yourself/Health-Anxiety,,2025,en,workbook_and_sheets,"[""young_adults"", ""adults""]","[""anxiety"", ""worry"", ""health_anxiety""]",professional_knowledge,psychoeducation_only,tier_a,B,official_public_source,True,unknown_until_checked,False,unknown,low,current,91,strong_include,strong_include; score=91
CCI_PANIC,Panic self-help resources,"Centre for Clinical Interventions, Government of Western Australia",https://www.cci.health.wa.gov.au/Resources/Looking-After-Yourself/Panic,,2025,en,workbook_and_sheets,"[""young_adults"", ""adults""]","[""panic"", ""anxiety"", ""breathing_relaxation""]",interventions,direct_user_support,tier_a,B,official_public_source,True,unknown_until_checked,False,unknown,low,current,91,strong_include,strong_include; score=91
CCI_BIPOLAR,Bipolar self-help resources,"Centre for Clinical Interventions, Government of Western Australia",https://www.cci.health.wa.gov.au/Resources/Looking-After-Yourself/Bipolar,,2025,en,workbook_and_sheets,"[""adults""]","[""bipolar_disorder"", ""mania"", ""sleep""]",professional_knowledge,psychoeducation_only,tier_a,B,official_public_source,True,unknown_until_checked,False,unknown,low,current,89,strong_include,strong_include; score=89
